Name,Description,Price,StockQuantity,Category
Perfume Chanel No. 5,"Perfume floral y aldehídico, uno de los más emblemáticos",120.99,50,Women
Perfume Dolce & Gabbana Light Blue,"Fragancia fresca y floral, ideal para el verano",75.99,40,Women
Perfume Gucci Bloom,Perfume floral para mujeres con notas de jazmín y nardo,110.0,30,Women
Perfume Yves Saint Laurent Black Opium,"Fragancia oriental floral, notas de café y vainilla",115.0,55,Women
Perfume Jo Malone London English Pear & Freesia,"Perfume afrutado floral, con notas de pera y fresia",145.0,35,Women
Perfume Chanel Coco Mademoiselle,"Perfume floral amaderado para mujeres, notas de naranja y rosa",130.0,50,Women
Perfume Viktor & Rolf Flowerbomb,"Fragancia floral con notas de jazmín, naranja y patchouli",120.0,45,Women
Perfume Lancôme La Vie Est Belle,"Perfume dulce y floral, con notas de iris y pachulí",110.0,55,Women
Perfume Paco Rabanne 1 Million,Perfume amaderado especiado con notas de cuero y ámbar,95.0,65,Men
Perfume Giorgio Armani Acqua di Gio,"Perfume fresco acuático, con notas de cítricos y jazmín",99.99,60,Men
Perfume Jean Paul Gaultier Le Male,"Perfume oriental especiado, con notas de menta, lavanda y vainilla",90.0,80,Men
Perfume Tom Ford Black Orchid,"Perfume floral y especiado, con notas de orquídea negra y especias",140.0,40,Men
Perfume Creed Aventus,"Perfume amaderado y afrutado, ideal para hombres con estilo",320.0,25,Men
Perfume Versace Eros,"Fragancia amaderada y oriental, inspirada en la mitología griega",85.0,70,Men
Perfume Dior Sauvage,"Perfume amaderado especiado, ideal para hombres",95.49,60,Men
